Change Component Description : Designator=U300 Old Description=ARM? Cortex?-M4 STM32 F3 Microcontroller IC 32-Bit 72MHz 64KB (64K x 8) FLASH 32-LQFP (7x7) New Description=ARM? Cortex?-M4 STM32 F3 Microcontroller IC 32-Bit 72MHz 64KB (64K x 8) FLASH 32-LQFP (7x7)
Change component parameters: Designator = "X300" ("X300"); Footprint = "NX3215SA-32.768K-STD-MUA-8"; UniqueID = "\JTNNNRYD" ("\JTNNNRYD")
Change component parameters (AddParameter): Name = "Catalog Drawings"; Value = "NX3215SA Series Top

NX3215SA Series Side

NX3215SA Series Bottom

NX3215SA Series Circuit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Category"; Value = "Crystals and Oscillators"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "https://datasheet.ciiva.com/857/c-nx3215sa-std-mua-9-e-857050.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "https://datasheet.ciiva.com/857/c-nx3215sa-std-mua-9-e-857050.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2Description"; Value = "https://datasheet.ciiva.com/857/c-nx3215sa-std-mua-9-e-857051.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink2URL"; Value = "https://datasheet.ciiva.com/857/c-nx3215sa-std-mua-9-e-857051.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3Description"; Value = "https://datasheet.ciiva.com/857/c-nx3215sa-std-mua-9-e-857052.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink3URL"; Value = "https://datasheet.ciiva.com/857/c-nx3215sa-std-mua-9-e-857052.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Dynamic Catalog"; Value = "NX3215SA Series"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ESR (Equivalent Series Resistance)"; Value = "70 kOhm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "Crystals"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Featured Product"; Value = "NX3215SA Series 32.768KHz SMD Crystals"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency"; Value = "32.768kHz"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Frequency Tolerance"; Value = "°¿20ppm"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Height"; Value = "0.035" (0.90mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Load Capacitance"; Value = "12.5pF"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "Nihon Dempa Kogyo (NDK)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer Part Number"; Value = "NX3215SA-32.768K-STD-MUA-8"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Mounting Type"; Value = "Surface Mount"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Mode"; Value = "Fundamental"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Operating Temperature"; Value = "-40°„C ~ 85°„C"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Other Names"; Value = "644-1156-6"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Package / Case"; Value = "2-SMD"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Packaging"; Value = "Digi-Reel?"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Pricing 1"; Value = "1=0.94, 10=0.835, 50=0.7804, 100=0.6897, 500=0.6534, 1000=0.5445 (USD)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Series"; Value = "NX3215SA"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Size / Dimension"; Value = "0.126" L x 0.059" W (3.20mm x 1.50mm)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Standard Package"; Value = "1"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Stock 1"; Value = "45314"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier 1"; Value = "Digikey"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Supplier Part Number 1"; Value = "644-1156-1-ND"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Type"; Value = "kHz Crystal (Tuning Fork)"; VariantName = "[No Variations]"
Change component parameters: Designator = "U300" ("U300"); Footprint = "LQFP32"; UniqueID = "\JJOMOZOD" ("\JJOMOZOD")
Change component parameters (AddParameter): Name = "Category"; Value = "Integrated Circuits (ICs)"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1Description"; Value = "http://www.st.com/web/en/resource/technical/document/datasheet/DM00092070.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "ComponentLink1URL"; Value = "http://www.st.com/web/en/resource/technical/document/datasheet/DM00092070.pdf"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Connectivity"; Value = "CAN, I2C, IrDA, LIN, SPI, UART/USART"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Core Processor"; Value = "ARM? Cortex?-M4"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Core Size"; Value = "32-Bit"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Data Converters"; Value = "A/D 9x12b, D/A 3x12b"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "EEPROM Size"; Value = "-"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Family"; Value = "Embedded - Microcontrollers"; VariantName = "[No Variations]"
Change component parameters (AddParameter): Name = "Manufacturer"; Value = "STMicroelectronics"; VariantName = "[No Variations]"
